code,regency_code,coordinate,is_populated,is_outermost_small,name
210440073,2104,00°08'48.66" N 104°12'15.15" E,1,0,Pulau Batuberlobang
210440074,2104,00°05'19.68" S 104°43'46.10" E,0,0,Pulau Batubuntal
210440075,2104,00°03'00.00" N 104°29'31.59" E,0,0,Pulau Batugajah
210440076,2104,00°04'14.93" S 104°50'40.63" E,0,0,Pulau Batukongki
210440077,2104,00°18'34.40" S 104°23'41.35" E,0,0,Pulau Batumalangkelembai
210440078,2104,00°18'30.73" S 104°23'39.82" E,0,0,Pulau Batumalangkelembai Kecil
210440079,2104,00°07'48.02" S 104°28'44.19" E,0,0,Pulau Batumeladung
210440080,2104,00°17'45.34" S 104°23'03.00" E,0,0,Pulau Batupahat
210440081,2104,00°17'43.98" S 104°23'15.75" E,0,0,Pulau Batupahat Kecik
210440082,2104,00°17'45.31" S 104°23'10.06" E,0,0,Pulau Batupahat Tengah
210440083,2104,00°20'51.50" S 104°55'38.20" E,0,0,Pulau Baturesoh
210440084,2104,00°20'55.75" N 104°18'03.71" E,0,0,Pulau Batutongkol
210440085,2104,00°09'36.26" N 104°25'22.28" E,0,0,Pulau Bayan
210440086,2104,00°14'33.39" N 104°28'37.81" E,0,0,Pulau Bebek Besar
210440087,2104,00°14'23.76" N 104°28'36.03" E,0,0,Pulau Bebek Kecil
210440088,2104,00°02'03.00" S 104°50'11.36" E,0,0,Pulau Bedare
210440089,2104,00°02'08.54" S 104°50'15.06" E,0,0,Pulau Bedare Kecil
210440090,2104,00°09'08.73" N 104°27'37.40" E,0,0,Pulau Bejole
210440091,2104,00°01'23.20" S 104°38'45.56" E,0,0,Pulau Belabau
210440092,2104,00°41'00.50" S 104°22'39.33" E,0,0,Pulau Belade
210440093,2104,00°01'04.00" S 104°49'38.28" E,0,0,Pulau Belading
210440094,2104,00°15'48.64" N 104°29'17.47" E,0,0,Pulau Belang
210440095,2104,00°06'31.00" N 104°27'15.00" E,0,0,Pulau Belongkeng
210440096,2104,00°06'29.99" N 104°27'20.00" E,0,0,Pulau Belongkeng Kecil
210440097,2104,00°16'37.83" S 104°24'15.76" E,0,0,Pulau Beluntas
210440098,2104,01°09'36.68" S 105°17'18.99" E,0,0,Pulau Bemban
210440099,2104,00°28'27.84" N 104°27'05.00" E,1,0,Pulau Benan
210440100,2104,00°24'38.19" S 104°12'40.89" E,1,0,Pulau Bendahara
210440101,2104,00°19'41.91" N 104°18'45.46" E,1,0,Pulau Bengku
210440102,2104,00°01'28.09" N 104°30'58.64" E,0,0,Pulau Bengkuang
210440103,2104,00°02'13.12" N 104°31'00.00" E,0,0,Pulau Benut Besar
210440104,2104,00°01'49.04" N 104°31'19.95" E,0,0,Pulau Benut Kecik
210440105,2104,00°30'02.99" S 104°02'20.61" E,0,0,Pulau Beralas
210440106,2104,00°00'30.49" S 104°39'18.54" E,0,0,Pulau Berang
210440107,2104,00°01'33.38" S 104°39'12.65" E,0,0,Pulau Bereh
210440108,2104,00°51'32.61" S 104°24'19.26" E,0,0,Pulau Berhala
210440109,2104,00°10'55.23" N 104°28'48.36" E,0,0,Pulau Beria Darat
210440110,2104,00°11'31.70" N 104°27'55.18" E,0,0,Pulau Beria Laut
210440111,2104,00°15'09.37" N 104°27'42.61" E,0,0,Pulau Beridi Besar
210440112,2104,00°15'09.88" N 104°27'35.42" E,0,0,Pulau Beridi Kecik
210440113,2104,00°15'12.16" N 104°27'38.77" E,0,0,Pulau Beridi Tengah
210440114,2104,00°21'10.42" N 104°18'11.30" E,0,0,Pulau Berjung
210440115,2104,00°10'32.62" N 104°15'18.07" E,0,0,Pulau Berjung Besar
210440116,2104,00°10'44.32" N 104°16'01.99" E,1,0,Pulau Berjung Kecik
210440117,2104,00°23'23.75" S 104°21'50.03" E,0,0,Pulau Berlas
210440118,2104,00°22'12.82" S 104°16'13.90" E,1,0,Pulau Besi
210440119,2104,00°14'50.17" N 104°19'40.15" E,0,0,Pulau Betelorempuh
210440120,2104,00°09'51.73" N 104°25'04.00" E,0,0,Pulau Betok
210440121,2104,00°22'58.18" N 104°27'09.00" E,0,0,Pulau Bidara
210440122,2104,00°01'31.72" N 104°31'25.78" E,0,0,Pulau Bidara
210440123,2104,00°23'34.23" N 104°27'28.20" E,0,0,Pulau Bidara
210440124,2104,00°08'28.75" N 104°29'11.18" E,0,0,Pulau Bintang
210440125,2104,00°06'24.41" N 104°30'26.48" E,0,0,Pulau Binton Besar
210440126,2104,00°06'27.00" N 104°30'18.00" E,0,0,Pulau Binton Kecil
210440127,2104,00°20'20.11" S 104°16'18.76" E,0,0,Pulau Bintun
210440128,2104,00°10'57.97" N 104°17'03.99" E,0,0,Pulau Biole
210440129,2104,00°22'47.24" N 104°28'07.00" E,0,0,Pulau Bocong
210440130,2104,00°04'40.04" N 104°32'08.00" E,0,0,Pulau Bogai Besar
210440131,2104,00°03'51.84" N 104°32'51.10" E,0,0,Pulau Bogai Kecik
210440132,2104,00°05'47.72" N 104°28'53.79" E,0,0,Pulau Bonden
210440133,2104,00°09'35.74" N 104°17'06.00" E,0,0,Pulau Bondencempa
210440134,2104,00°06'35.66" N 104°27'30.82" E,0,0,Pulau Bongki
210440135,2104,00°20'11.47" S 104°09'04.00" E,0,0,Pulau Buan
210440136,2104,00°10'36.08" N 104°13'34.06" E,0,0,Pulau Buaya
210440137,2104,00°17'32.56" N 104°25'00.00" E,0,0,Pulau Buayaselebah
210440138,2104,00°19'26.38" S 104°14'10.66" E,0,0,Pulau Buding
210440139,2104,00°18'35.44" N 104°18'56.22" E,0,0,Pulau Bujal
210440140,2104,00°26'47.68" N 104°25'54.73" E,1,0,Pulau Bukit
210440141,2104,00°21'49.06" N 104°17'02.00" E,0,0,Pulau Bulat
210440142,2104,00°11'26.41" N 104°15'25.84" E,0,0,Pulau Bulat
210440143,2104,00°10'23.80" N 104°16'08.00" E,0,0,Pulau Bulat
210440144,2104,00°00'40.10" N 104°31'54.83" E,1,0,Pulau Buli
210440145,2104,00°08'03.00" S 104°55'11.71" E,1,0,Pulau Buluh
